CodCliente;CodJob;CodQuestao;DescQuestaoPOR;Resposta
17529748;4037;122498;Você tem PIX? ;3
17529787;4037;122498;Você tem PIX? ;1
17529787;4037;122499;Para quais finalidades você usa o PIX? ;1|2
17662142;4037;122498;Você tem PIX? ;1
17662142;4037;122499;Para quais finalidades você usa o PIX? ;2|3|4
17662151;4037;122498;Você tem PIX? ;1
17662151;4037;122499;Para quais finalidades você usa o PIX? ;1|3|6
17689472;4037;122498;Você tem PIX? ;1
17689472;4037;122499;Para quais finalidades você usa o PIX? ;1
17689494;4037;122498;Você tem PIX? ;1
17689494;4037;122499;Para quais finalidades você usa o PIX? ;1
17689654;4037;122498;Você tem PIX? ;1
17689654;4037;122499;Para quais finalidades você usa o PIX? ;1|2
17690753;4037;122498;Você tem PIX? ;1
17690753;4037;122499;Para quais finalidades você usa o PIX? ;2
17691221;4037;122498;Você tem PIX? ;1
17691221;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
17691252;4037;122498;Você tem PIX? ;1
17691252;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
17691751;4037;122498;Você tem PIX? ;1
17691751;4037;122499;Para quais finalidades você usa o PIX? ;1|2|6
17866443;4037;122498;Você tem PIX? ;1
17866443;4037;122499;Para quais finalidades você usa o PIX? ;1|2|6
17867629;4037;122498;Você tem PIX? ;1
17867629;4037;122499;Para quais finalidades você usa o PIX? ;2
17869489;4037;122498;Você tem PIX? ;1
17869489;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|6
17869559;4037;122498;Você tem PIX? ;1
17869559;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
17878491;4037;122498;Você tem PIX? ;1
17878491;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
17878674;4037;122498;Você tem PIX? ;1
17878674;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
17880578;4037;122498;Você tem PIX? ;1
17880578;4037;122499;Para quais finalidades você usa o PIX? ;1|4
17888138;4037;122498;Você tem PIX? ;1
17888138;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
17888188;4037;122498;Você tem PIX? ;1
17888188;4037;122499;Para quais finalidades você usa o PIX? ;1
18022516;4037;122498;Você tem PIX? ;1
18022516;4037;122499;Para quais finalidades você usa o PIX? ;1|3
18022878;4037;122498;Você tem PIX? ;1
18022878;4037;122499;Para quais finalidades você usa o PIX? ;2
18022955;4037;122498;Você tem PIX? ;1
18022955;4037;122499;Para quais finalidades você usa o PIX? ;1|3|4|5
18023040;4037;122498;Você tem PIX? ;1
18023040;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
18023123;4037;122498;Você tem PIX? ;1
18023123;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19377031;4037;122498;Você tem PIX? ;1
19377031;4037;122499;Para quais finalidades você usa o PIX? ;1|6
19377104;4037;122498;Você tem PIX? ;1
19377104;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|7
19377865;4037;122498;Você tem PIX? ;1
19377865;4037;122499;Para quais finalidades você usa o PIX? ;1
19378353;4037;122498;Você tem PIX? ;1
19378353;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
19384239;4037;122498;Você tem PIX? ;2
