ClientId;DataÚltimaTransição;Dias Inativos;Churn_Sim_Nao;Score_Credito;Estado;G_nero;Idade;Tempo_Cliente_Meses;Limite_Credito_Mercado;Qte_Categorias;Usa_Cartao_Credito;Programa_Fidelidade; Sum_Acumulado 
345568;14/09/2019;46;1;619;São Paulo;Feminino;42;2;0;1;1;1; $422,29 
345569;05/10/2019;25;0;608;Rio de Janeiro;Feminino;41;1;838,1;1;0;1;R$ 468,93
345570;20/08/2019;71;1;502;São Paulo;Feminino;42;8;1596,6;3;1;0; $474,71 
345571;21/10/2019;9;0;699;São Paulo;Feminino;39;1;0;2;0;0; $390,94 
345572;26/10/2019;4;0;850;Rio de Janeiro;Feminino;43;2;1255,1;1;1;1; $329,52 
345573;07/09/2019;53;1;645;Rio de Janeiro;Masculino;44;8;1137,6;2;1;0; $623,99 
345574;07/10/2019;23;0;822;São Paulo;Masculino;50;7;0;2;1;1; $41,93 
345575;17/08/2019;74;1;376;Minas Gerais;Feminino;29;4;1150,5;4;1;0; $497,28 
345576;05/10/2019;25;0;501;São Paulo;Masculino;44;4;1420,5;2;0;1; $312,25 
345577;24/10/2019;6;0;684;São Paulo;Masculino;27;2;1346;1;1;1; $298,86 
345578;14/10/2019;16;0;528;São Paulo;Masculino;31;6;1020,2;2;0;0; $334,09 
345579;07/10/2019;23;0;497;Rio de Janeiro;Masculino;24;3;0;2;1;0; $318,29 
345580;04/10/2019;26;0;476;São Paulo;Feminino;34;10;0;2;1;0; $109,42 
345581;28/10/2019;2;0;549;São Paulo;Feminino;25;5;0;2;0;0; $795,24 
345582;20/10/2019;10;0;635;Rio de Janeiro;Feminino;35;7;0;2;1;1; $274,80 
345583;28/10/2019;2;0;616;Minas Gerais;Masculino;45;3;1431,3;2;0;1; $268,03 
345584;21/09/2019;39;1;653;Minas Gerais;Masculino;58;1;1326;1;1;0; $21,24 
345585;13/10/2019;17;0;549;Rio de Janeiro;Feminino;24;9;0;2;1;1; $60,03 
345586;20/10/2019;10;0;587;Rio de Janeiro;Masculino;45;6;0;1;0;0; $661,19 
345587;26/10/2019;4;0;726;São Paulo;Feminino;24;6;0;2;1;1; $228,02 
345588;09/10/2019;21;0;732;São Paulo;Masculino;41;8;0;2;1;1; $712,03 
345589;12/10/2019;18;0;636;Rio de Janeiro;Feminino;32;8;0;2;1;0; $577,31 
345590;18/07/2019;104;1;510;Rio de Janeiro;Feminino;38;4;0;1;1;0; $495,47 
345591;20/10/2019;10;0;669;São Paulo;Masculino;46;3;0;2;0;1; $35,37 
345592;11/10/2019;19;0;846;São Paulo;Feminino;38;5;0;1;1;1; $781,73 
345593;10/10/2019;20;0;577;São Paulo;Masculino;25;3;0;2;0;1; $518,78 
345594;10/10/2019;20;0;756;Minas Gerais;Masculino;36;2;1368,2;1;1;1; $708,51 
345595;03/10/2019;27;0;571;São Paulo;Masculino;44;9;0;2;0;0; $160,14 
345596;06/10/2019;24;0;574;Minas Gerais;Feminino;43;3;1413,5;1;1;1; $417,45 
345597;29/10/2019;1;0;411;São Paulo;Masculino;29;0;597;2;1;1; $222,85 
345598;25/08/2019;66;1;591;Rio de Janeiro;Feminino;39;3;0;3;1;0; $585,29 
345599;20/10/2019;10;0;533;São Paulo;Masculino;36;7;853,1;1;0;1; $653,05 
345600;09/10/2019;21;0;553;Minas Gerais;Masculino;41;9;1101,1;2;0;0; $341,25 
345601;30/10/2019;0;0;520;Rio de Janeiro;Feminino;42;6;0;2;1;1; $143,38 
345602;28/10/2019;2;0;722;Rio de Janeiro;Feminino;29;9;0;2;1;1; $591,80 
345603;14/07/2019;108;1;475;São Paulo;Feminino;45;0;1342,6;1;1;0; $115,93 
345604;28/10/2019;2;0;490;Rio de Janeiro;Masculino;31;3;1452,6;1;0;1; $475,28 
345605;22/10/2019;8;0;804;Rio de Janeiro;Masculino;33;7;765,5;1;0;1; $410,22 
345606;21/10/2019;9;0;850;São Paulo;Masculino;36;7;0;1;1;1; $170,05 
345607;12/10/2019;18;0;582;Minas Gerais;Masculino;41;6;703,5;2;0;1; $741,98 
345608;19/10/2019;11;0;472;Rio de Janeiro;Masculino;40;4;0;1;1;0; $292,31 
345609;24/09/2019;36;1;465;São Paulo;Feminino;51;8;1225,2;1;0;0; $755,41 
345610;13/10/2019;17;0;556;São Paulo;Feminino;61;2;1174,2;1;1;1; $392,31 
345611;29/09/2019;31;1;834;São Paulo;Feminino;49;2;1313,9;1;0;0; $809,86 
345612;16/10/2019;14;0;660;Rio de Janeiro;Feminino;61;5;1559,3;1;1;1; $659,74 
345613;11/10/2019;19;0;776;Minas Gerais;Feminino;32;4;1094,2;2;1;1; $527,16 
345614;07/08/2019;84;1;829;Minas Gerais;Feminino;27;9;1120,5;1;1;1; $498,78 
345615;03/09/2019;57;1;637;Minas Gerais;Feminino;39;9;1378,4;1;1;1; $490,10 
345616;14/10/2019;16;0;550;Minas Gerais;Masculino;38;2;1033,9;1;0;1; $378,66 
345617;13/10/2019;17;0;776;Minas Gerais;Feminino;37;2;1037,7;2;1;0; $808,75 
345618;24/10/2019;6;0;698;Minas Gerais;Masculino;44;10;1163,6;2;1;0; $825,25 
